"gene_id","symbol"
12180,"Smyd1"
12182,"Bst1"
12183,"Bpgm"
12189,"Brca1"
12190,"Brca2"
12192,"Zfp36l1"
12193,"Zfp36l2"
12209,"Brs3"
12211,"Birc6"
12223,"Btc"
12226,"Btg1"
12227,"Btg2"
12228,"Btg3"
12229,"Btk"
12234,"Btrc"
12235,"Bub1"
12236,"Bub1b"
12237,"Bub3"
12257,"Tspo"
12258,"Serping1"
12259,"C1qa"
12260,"C1qb"
12262,"C1qc"
12263,"C2"
12265,"Ciita"
12266,"C3"
12267,"C3ar1"
12268,"C4b"
12269,"C4bp"
12273,"C5ar1"
12274,"C6"
12279,"C9"
12282,"Hyou1"
12283,"Cab39"
12286,"Cacna1a"
12287,"Cacna1b"
12288,"Cacna1c"
12289,"Cacna1d"
12290,"Cacna1e"
12291,"Cacna1g"
12292,"Cacna1s"
12293,"Cacna2d1"
12294,"Cacna2d3"
12295,"Cacnb1"
12296,"Cacnb2"
12297,"Cacnb3"
12298,"Cacnb4"
12299,"Cacng1"
12300,"Cacng2"
12301,"Cacybp"
12304,"Pdia4"
12307,"Calb1"
12309,"S100g"
12310,"Calca"
12311,"Calcr"
12313,"Calm1"
12314,"Calm2"
12315,"Calm3"
12317,"Calr"
12319,"Car8"
12322,"Camk2a"
12323,"Camk2b"
12325,"Camk2g"
12326,"Camk4"
12330,"Canx"
12333,"Capn1"
12334,"Capn2"
12340,"Capza1"
12343,"Capza2"
12344,"Capza3"
12345,"Capzb"
12346,"Car1"
12349,"Car2"
12350,"Car3"
12351,"Car4"
12352,"Car5a"
12353,"Car6"
12354,"Car7"
12359,"Cat"
12362,"Casp1"
12363,"Casp4"
12364,"Casp12"
12366,"Casp2"
12367,"Casp3"
12368,"Casp6"
12369,"Casp7"
12370,"Casp8"
12371,"Casp9"
12372,"Casq1"
12373,"Casq2"
12374,"Casr"
12385,"Ctnna1"
12386,"Ctnna2"
12387,"Ctnnb1"
12388,"Ctnnd1"
12389,"Cav1"
12390,"Cav2"
12391,"Cav3"
12393,"Runx2"
12394,"Runx1"
12399,"Runx3"
12402,"Cbl"
12408,"Cbr1"
12409,"Cbr2"
12411,"Cbs"
12421,"Rb1cc1"
12424,"Cck"
12425,"Cckar"
12426,"Cckbr"
12427,"Ccna1"
12428,"Ccna2"
12442,"Ccnb2"
12443,"Ccnd1"
12444,"Ccnd2"
12445,"Ccnd3"
12447,"Ccne1"
12448,"Ccne2"
12450,"Ccng1"
12452,"Ccng2"
12458,"Ccr6"
12475,"Cd14"
12477,"Ctla4"
12478,"Cd19"
12479,"Cd1d1"
12480,"Cd1d2"
12481,"Cd2"
12482,"Ms4a1"
12483,"Cd22"
12484,"Cd24a"
12487,"Cd28"
12488,"Cd2ap"
12489,"Cd33"
12490,"Cd34"
12491,"Cd36"
12492,"Scarb2"
12493,"Cd37"
12494,"Cd38"
12495,"Entpd1"
12496,"Entpd2"
12497,"Entpd6"
12499,"Entpd5"
12500,"Cd3d"
12501,"Cd3e"
12502,"Cd3g"
12503,"Cd247"
12504,"Cd4"
12505,"Cd44"
12506,"Cd48"
12507,"Cd5"
12509,"Cd59a"
12511,"Cd6"
12512,"Cd63"
12514,"Cd68"
12516,"Cd7"
12517,"Cd72"
12518,"Cd79a"
12519,"Cd80"
12520,"Cd81"
12521,"Cd82"
12524,"Cd86"
12525,"Cd8a"
12526,"Cd8b1"
12527,"Cd9"
12530,"Cdc25a"
12531,"Cdc25b"
12532,"Cdc25c"
12534,"Cdk1"
12539,"Cdc37"
12540,"Cdc42"
12544,"Cdc45"
12545,"Cdc7"
12550,"Cdh1"
12555,"Cdh15"
12558,"Cdh2"
12560,"Cdh3"
12561,"Cdh4"
12562,"Cdh5"
12566,"Cdk2"
12567,"Cdk4"
12568,"Cdk5"
12571,"Cdk6"
12572,"Cdk7"
12575,"Cdkn1a"
12576,"Cdkn1b"
12577,"Cdkn1c"
12578,"Cdkn2a"
12579,"Cdkn2b"
12580,"Cdkn2c"
12581,"Cdkn2d"
12583,"Cdo1"
12608,"Cebpb"
12613,"Cel"
12622,"Cer1"
12628,"Cfh"
12630,"Cfi"
12631,"Cfl1"
12632,"Cfl2"
12633,"Cflar"
12638,"Cftr"
12640,"Cga"
12642,"Ch25h"
12643,"Chad"
12647,"Chat"
12649,"Chek1"
12651,"Chkb"
12660,"Chka"
12667,"Chrd"
12669,"Chrm1"
12671,"Chrm3"
12672,"Chrm4"
12675,"Chuk"
12686,"Elovl3"
12695,"Patj"
12700,"Cish"
12702,"Socs3"
12703,"Socs1"
12709,"Ckb"
12715,"Ckm"
12716,"Ckmt1"
12721,"Coro1a"
12722,"Clca3a1"
12724,"Clcn2"
12729,"Clns1a"
12737,"Cldn1"
12738,"Cldn2"
12739,"Cldn3"
12740,"Cldn4"
12741,"Cldn5"
12751,"Tpp1"
12752,"Cln3"
12753,"Clock"
12757,"Clta"
12759,"Clu"
12763,"Cmah"
12764,"Cmas"
12765,"Cxcr2"
12766,"Cxcr3"
12767,"Cxcr4"
12768,"Ccr1"
12769,"Ccr9"
12770,"Ccr1l1"
12771,"Ccr3"
12772,"Ccr2"
12773,"Ccr4"
12774,"Ccr5"
12775,"Ccr7"
12776,"Ccr8"
12777,"Ccr10"
12778,"Ackr3"
12780,"Abcc2"
12788,"Cnga1"
12789,"Cnga2"
12790,"Cnga3"
12795,"Plk3"
12796,"Camp"
12801,"Cnr1"
12802,"Cnr2"
12803,"Cntf"
12804,"Cntfr"
12805,"Cntn1"
12813,"Col10a1"
12814,"Col11a1"
12815,"Col11a2"
12816,"Col12a1"
12817,"Col13a1"
12818,"Col14a1"
12819,"Col15a1"
12821,"Col17a1"
12822,"Col18a1"
12824,"Col2a1"
12825,"Col3a1"
12826,"Col4a1"
12827,"Col4a2"
12828,"Col4a3"
12829,"Col4a4"
12830,"Col4a5"
12831,"Col5a1"
12832,"Col5a2"
12833,"Col6a1"
12834,"Col6a2"
12835,"Col6a3"
12836,"Col7a1"
12839,"Col9a1"
12840,"Col9a2"
12841,"Col9a3"
12842,"Col1a1"
12843,"Col1a2"
12845,"Comp"
12846,"Comt"
12850,"Coq7"
12854,"Cort"
12856,"Cox17"
12857,"Cox4i1"
12858,"Cox5a"
12859,"Cox5b"
12861,"Cox6a1"
12862,"Cox6a2"
12864,"Cox6c"
12865,"Cox7a1"
12866,"Cox7a2"
12867,"Cox7c"
12868,"Cox8a"
12869,"Cox8b"
12870,"Cp"
12873,"Cpa3"
12877,"Cpeb1"
12889,"Cplx1"
12890,"Cplx2"
12892,"Cpox"
12894,"Cpt1a"
12895,"Cpt1b"
12896,"Cpt2"
12902,"Cr2"
12908,"Crat"
12912,"Creb1"
12913,"Creb3"
12914,"Crebbp"
12915,"Atf6b"
12916,"Crem"
12918,"Crh"
12921,"Crhr1"
12922,"Crhr2"
12927,"Bcar1"
12928,"Crk"
12929,"Crkl"
12934,"Dpysl2"
12945,"Dmbt1"
12946,"Cr1l"
12952,"Cry1"
12953,"Cry2"
12954,"Cryaa"
12955,"Cryab"
12974,"Cs"
12977,"Csf1"
12978,"Csf1r"
12981,"Csf2"
12982,"Csf2ra"
12983,"Csf2rb"
12984,"Csf2rb2"
12985,"Csf3"
12986,"Csf3r"
12991,"Csn2"
12995,"Csnk2a1"
13000,"Csnk2a2"
13001,"Csnk2b"
13002,"Dnajc5"
13003,"Vcan"
13006,"Smc3"
13010,"Cst3"
13016,"Ctbp1"
13017,"Ctbp2"
13019,"Ctf1"
13026,"Pcyt1a"
13030,"Ctsb"
13032,"Ctsc"
13033,"Ctsd"
13034,"Ctse"
13035,"Ctsg"
13036,"Ctsh"
13038,"Ctsk"
13039,"Ctsl"
13040,"Ctss"
13041,"Ctsw"
13043,"Cttn"
13051,"Cx3cr1"
13057,"Cyba"
13058,"Cybb"
13063,"Cycs"
13067,"Cyct"
13070,"Cyp11a1"
13072,"Cyp11b2"
13074,"Cyp17a1"
13075,"Cyp19a1"
13076,"Cyp1a1"
13077,"Cyp1a2"
13078,"Cyp1b1"
13079,"Cyp21a1"
13081,"Cyp24a1"
13082,"Cyp26a1"
13085,"Cyp2a12"
13086,"Cyp2a4"
13087,"Cyp2a5"
13088,"Cyp2b10"
13089,"Cyp2b13"
13090,"Cyp2b19"
13094,"Cyp2b9"
13095,"Cyp2c29"
13096,"Cyp2c37"
13097,"Cyp2c38"
13098,"Cyp2c39"
13099,"Cyp2c40"
13101,"Cyp2d10"
13105,"Cyp2d9"
13106,"Cyp2e1"
13107,"Cyp2f2"
13109,"Cyp2j5"
13110,"Cyp2j6"
13112,"Cyp3a11"
13113,"Cyp3a13"
13114,"Cyp3a16"
13115,"Cyp27b1"
13116,"Cyp46a1"
13117,"Cyp4a10"
13118,"Cyp4a12b"
13119,"Cyp4a14"
13121,"Cyp51"
13122,"Cyp7a1"
13123,"Cyp7b1"
13124,"Cyp8b1"
13132,"Dab2"
13135,"Dad1"
13136,"Cd55"
13137,"Cd55b"
13138,"Dag1"
13139,"Dgka"
13142,"Dao"
13143,"Dapk2"
13144,"Dapk3"
13162,"Slc6a3"
13163,"Daxx"
13166,"Dbh"
13167,"Dbi"
13168,"Dbil5"
13171,"Dbt"
13176,"Dcc"
13177,"Eci1"
13178,"Dck"
13179,"Dcn"
13180,"Pcbd1"
13190,"Dct"
13191,"Dctn1"
13194,"Ddb1"
13195,"Ddc"
13196,"Asap1"
13197,"Gadd45a"
13198,"Ddit3"
13200,"Ddost"
13204,"Dhx15"
13205,"Ddx3x"
13207,"Ddx5"
13209,"Ddx6"
13214,"Defb1"
13216,"Defa1"
13218,"Defa29"
13219,"Defa-rs10"
13221,"Defa-rs12"
13222,"Defa-rs2"
13223,"Defa-rs4"
13226,"Defa31"
13236,"Defa25"
13237,"Defa3"
13238,"Defa4"
13239,"Defa5"
13240,"Defa6"
13244,"Degs1"
13347,"Dffa"
13350,"Dgat1"
13360,"Dhcr7"
13361,"Dhfr"
13363,"Dhh"
13367,"Diaph1"
13368,"Dffb"
13370,"Dio1"
13371,"Dio2"
13380,"Dkk1"
13382,"Dld"
13383,"Dlg1"
13385,"Dlg4"
13388,"Dll1"
13389,"Dll3"
13395,"Dlx5"
13406,"Dmp1"
13418,"Dnajc1"
13423,"Dnase2a"
13424,"Dync1h1"
13426,"Dync1i1"
13427,"Dync1i2"
13429,"Dnm1"
13430,"Dnm2"
13433,"Dnmt1"
13435,"Dnmt3a"
13436,"Dnmt3b"
13478,"Dpagt1"
13480,"Dpm1"
13481,"Dpm2"
13482,"Dpp4"
13487,"Slc26a3"
13488,"Drd1"
13489,"Drd2"
13490,"Drd3"
13491,"Drd4"
13492,"Drd5"
13537,"Dusp2"
13542,"Dvl1"
13543,"Dvl2"
13544,"Dvl3"
13555,"E2f1"
13557,"E2f3"
13559,"E2f5"
13590,"Lefty1"
13595,"Ebp"
13607,"Eda"
13608,"Edar"
13609,"S1pr1"
13610,"S1pr3"
13611,"S1pr4"
13614,"Edn1"
13615,"Edn2"
13616,"Edn3"
13617,"Ednra"
13618,"Ednrb"
13627,"Eef1a1"
13628,"Eef1a2"
13629,"Eef2"
13631,"Eef2k"
13636,"Efna1"
13637,"Efna2"
13638,"Efna3"
13639,"Efna4"
13640,"Efna5"
13641,"Efnb1"
13642,"Efnb2"
13643,"Efnb3"
13645,"Egf"
13646,"Klk1b22"
13648,"Klk1b9"
13649,"Egfr"
13653,"Egr1"
13654,"Egr2"
13655,"Egr3"
13660,"Ehd1"
13663,"Ei24"
13664,"Eif1a"
13665,"Eif2s1"
13666,"Eif2ak3"
13667,"Eif2b4"
13669,"Eif3a"
13681,"Eif4a1"
13682,"Eif4a2"
13684,"Eif4e"
13685,"Eif4ebp1"
13688,"Eif4ebp2"
13690,"Eif4g2"
13706,"Cela2a"
13711,"Elf5"
13712,"Elk1"
13714,"Elk4"
13717,"Eln"
13800,"Enah"
13804,"Endog"
13806,"Eno1"
13807,"Eno2"
13808,"Eno3"
13809,"Enpep"
13835,"Epha1"
13836,"Epha2"
13837,"Epha3"
13838,"Epha4"
13839,"Epha5"
13840,"Epha6"
13841,"Epha7"
13842,"Epha8"
13844,"Ephb2"
13845,"Ephb3"
13846,"Ephb4"
13848,"Ephb6"
13849,"Ephx1"
13850,"Ephx2"
13852,"Stx2"
13854,"Epn1"
13855,"Epn2"
13856,"Epo"
13857,"Epor"
13858,"Eps15"
