pathway_id,pathway_name,pathway_genes,edit
mmu00514,Other_types_of_O-glycan_biosynthesis,"101351,108148,108150,108155,108760,140484,14423,14425,14426,14595,16848,171212,17305,19719,20440,20441,207839,212996,217734,223827,224143,230145,231050,232313,233733,234407,240119,241391,26433,268880,269132,270049,271786,381694,53418,57370,59048,67909,71685,78754,80294,94192,99011,",1.0
mmu00515,Mannose_type_O-glycan_biosynthesis,"108902,14345,14348,14595,16795,20441,215494,216395,217734,228366,243853,246179,268510,280645,53418,57370,68273,74653,75847,76898,97884,98388,99011,",1.0
mmu00520,Amino_sugar_and_nucleotide_sugar_metabolism,"103988,107652,109754,109785,110119,12763,12764,14430,14583,14584,14635,14751,15211,15212,15275,15277,19703,212032,216019,216558,218138,22122,22235,227620,229688,230582,234730,245847,26384,266690,29858,320635,331026,50798,54128,54342,56174,66681,67311,67883,67980,69080,71884,72017,72157,74091,74246,75540,81600,94181,",1.0
mmu00524,"Neomycin,_kanamycin_and_gentamicin_biosynthesis","103988,15275,15277,212032,216019,",1.0
mmu00531,Glycosaminoglycan_degradation,"109685,110006,11881,12091,15211,15212,15442,15586,15587,15931,15932,20690,27029,27419,50917,52120,545291,74409,74468,75612,77042,",1.0
mmu00532,Glycosaminoglycan_biosynthesis,"100910,117592,212898,217119,218271,233781,234356,269941,338362,53374,58250,59031,60322,71797,72136,72727,74241,77590,78752,78923,",1.0
mmu00533,Glycosaminoglycan_biosynthesis,"14595,20441,20442,20444,227327,26887,53418,53618,53625,54371,56375,56773,57370,76969,",1.0
mmu00534,Glycosaminoglycan_biosynthesis,"117592,14042,14043,15476,15478,15531,17423,195646,217119,218271,233781,23908,319415,50785,50786,50787,54616,54710,56219,58193,64580,72727,83398,93683,",1.0
mmu00561,Glycerolipid_metabolism,"102247,104418,110197,110524,110695,11605,11669,11671,11677,116939,11997,12613,13139,13350,14187,14245,14625,14626,14732,14933,15450,16891,16956,18946,18947,19012,215456,217480,218121,225010,225913,227333,231510,233549,235582,23945,28169,320127,331374,380921,381925,50784,52123,55979,56077,56752,58810,64898,64899,66853,67216,67512,67717,67800,67861,67916,68262,68393,69060,69923,71910,72535,",1.0
mmu00562,Inositol_phosphate_metabolism,"101490,103199,104015,104776,107650,108083,114663,114875,117150,16329,16330,16331,16332,170749,170835,17330,17772,18704,18705,18706,18707,18711,18717,18718,18719,18720,18795,18796,18797,18798,18799,18802,18803,19062,19211,20975,212111,217837,219135,21991,224020,225326,227733,228550,233011,234515,234779,240752,269180,269437,269615,30955,320404,320634,52858,53332,54384,55980,56727,64436,67073,69718,71780,72469,74055,74302,74769,75678,77116,83493,84095,97287,",1.0
mmu00563,Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,"110417,13481,14731,14755,14756,18700,18701,228812,230801,239827,241062,27392,276846,327942,329777,433931,55981,56176,56703,66268,67292,67556,70325,72084,78928,",1.0
mmu00564,Glycerophospholipid_metabolism,"102247,104418,104759,110197,110524,110911,11423,12647,12651,12660,13026,13139,14245,14555,14571,14712,14732,14792,16816,18618,18777,18778,18780,18781,18782,18783,18784,18805,18806,18807,19012,19210,192654,210992,211429,212862,214253,215456,217480,218121,225010,225845,226856,227333,231510,232889,236899,237625,237928,241274,26394,26565,26970,26971,270084,271844,27388,28042,28169,320127,320951,329502,331374,333433,380921,381925,50767,50784,52123,52858,53357,55979,56077,64898,64899,66350,66358,665270,66586,66826,67216,67512,67916,68262,68671,69836,70902,71760,71910,74182,74451,74596,75320,77582,78390,85031,99010,99712,",1.0
mmu00565,Ether_lipid_metabolism,"100163,104759,18472,18475,18476,18606,18778,18780,18781,18782,18783,18784,18805,18806,18807,19012,210992,211429,212862,22239,225845,228061,232889,237625,26565,26970,26971,270084,271844,27226,28042,320981,329502,407243,50784,53357,53897,66350,665270,66569,67916,68255,68616,69836,70902,78390,99010,99712,",1.0
mmu00590,Arachidonic_acid_metabolism,"100040843,100066,107141,109857,11684,11685,11686,11687,11688,11689,12408,12409,13088,13089,13090,13094,13095,13096,13097,13098,13099,13106,13109,13110,13117,13118,13119,13850,14598,14775,14776,14778,14780,16993,17001,170716,18778,18780,18781,18782,18783,18784,19215,19223,19224,19225,211429,21391,225845,226105,226143,230459,230639,232889,237625,23887,242546,243881,26565,26970,26971,271844,277753,329502,404195,433247,435802,53357,54486,56351,64292,64385,66350,66469,665095,665270,666168,67305,69590,69836,69888,71519,72054,72082,72303,74519,75512,78390,96979,",1.0
mmu00591,Linoleic_acid_metabolism,"100041375,100066,107141,11687,13077,13095,13096,13097,13098,13099,13106,13109,13110,13112,13113,13114,18778,18780,18781,18782,18783,18784,211429,225845,226105,226143,230459,232889,237625,242546,26565,26970,26971,271844,329502,337924,404195,433247,53357,53973,56388,66350,665095,665270,69836,69888,72082,72303,74519,78390,",1.0
mmu00592,alpha-Linolenic_acid_metabolism,"113868,11430,18778,18780,18781,18782,18783,18784,211429,225845,232889,235674,237625,26565,26970,26971,271844,329502,53357,56473,66350,665270,69836,78390,80911,",1.0
mmu00600,Sphingolipid_metabolism,"11605,11883,11886,12091,13244,14420,14466,171168,18010,19012,20397,20597,20598,20698,20773,208449,22234,22239,223753,228677,230101,230379,238011,23956,241159,241447,268656,433323,50784,50877,53897,54447,545975,56386,56632,58994,619326,66190,67260,67916,70059,70750,71949,74442,76893,77626,81535,93898,",1.0
mmu00601,Glycosphingolipid_biosynthesis,"102637973,108105,14343,14344,14345,14347,14348,14538,14594,14595,20441,20443,20449,231727,239559,26877,26878,26879,53418,53625,54613,56375,56546,57370,72297,80908,93961,",1.0
mmu00603,Glycosphingolipid_biosynthesis,"11605,14343,14344,14348,15211,15212,17939,20442,20444,20449,215493,227671,239559,26879,56546,93961,",1.0
mmu00604,Glycosphingolipid_biosynthesis,"11416,12091,14421,15211,15212,20442,20444,20447,20448,20449,20454,225742,26938,50935,54218,",1.0
mmu00620,Pyruvate_metabolism,"100705,106557,107029,107476,109264,109801,110446,110460,110695,11669,11671,13382,14194,14651,16828,16832,16833,17436,17448,17449,18534,18563,18597,18598,18746,18770,235339,52815,56752,60525,66204,68263,68738,72535,74156,74551,75572,76238,",1.0
mmu00630,Glyoxylate_and_dicarboxylate_metabolism,"104174,108037,110446,110460,110821,11428,11429,11611,12359,12974,13382,14645,15112,17448,17449,17850,20425,235582,434437,56185,60525,66904,67078,67432,68133,68180,68738,71562,71832,73724,76238,",1.0
mmu00640,Propanoate_metabolism,"100705,104776,106557,107476,110446,110460,110821,11409,11430,12039,12040,13171,13382,16828,16832,16833,17850,20916,20917,227095,268860,380660,52665,56451,56690,60525,66904,68738,73724,74147,80911,93747,97212,",1.0
mmu00650,Butanoate_metabolism,"110446,110460,11409,117147,14415,14417,15107,15356,15360,20216,208715,208982,214579,217666,233799,233801,268860,272428,353371,64059,67041,69772,71911,74147,78894,93747,97212,",1.0
mmu00670,One_carbon_pool_by_folate,"100039707,107747,107885,108037,108147,108156,13361,14317,14450,17768,17769,20425,216188,22171,238505,270685,434437,665563,69606,",1.0
mmu00730,Thiamine_metabolism,"105663,11431,11636,11637,11639,11647,11648,11650,18041,229949,29807,66566,68870,76768,78801,",1.0
mmu00740,Riboflavin_metabolism,"11431,11432,11433,18605,209558,233016,319945,54391,",1.0
mmu00750,Vitamin_B6_metabolism,"103711,107272,11761,213043,216134,57028,71724,71872,73373,",1.0
mmu00760,Nicotinate_and_nicotinamide_metabolism,"103850,11761,11871,11872,12182,12494,18113,18115,18605,18950,192185,209011,209558,213043,223646,225994,226518,230718,23959,50721,50773,59027,64383,64384,66454,667034,66763,67375,67993,68346,68352,68646,69564,70881,71724,71872,74080,75387,76952,78914,93759,",1.0
mmu00770,Pantothenate_and_CoA_biosynthesis,"103149,106564,11669,11671,12035,12036,18605,209558,211347,22361,26464,64705,66812,67618,71743,72535,73748,74450,75735,99586,",1.0
mmu00780,Biotin_metabolism,"110948,26363,71147,",1.0
mmu00785,Lipoic_acid_metabolism,"117147,623661,67164,79464,",1.0
mmu00790,Folate_biosynthesis,"110391,11647,11648,11650,11677,11997,12408,13180,13361,14187,14287,14528,14590,17434,18478,19286,20751,216343,21823,21990,268566,56738,67861,68591,72562,76768,",1.0
mmu00830,Retinol_metabolism,"100040843,100041375,100559,100727,103142,107141,107605,112417,11522,11529,11532,11668,11761,13076,13077,13082,13085,13086,13087,13088,13089,13090,13094,13095,13096,13097,13098,13099,13112,13113,13114,13117,13118,13119,13350,17252,19378,19682,19683,19892,20148,213043,216453,216454,22236,22238,226105,226143,230639,231396,232174,235033,241452,242285,243085,243881,245532,26358,26876,27400,277753,28200,337924,394430,394432,394433,394434,394435,394436,404195,433247,435802,53973,54150,546726,552899,56388,56847,63857,666168,67442,69888,71724,71773,71872,72082,72094,72303,74134,77974,79235,94215,94284,98711,",1.0
mmu00860,Porphyrin_and_chlorophyll_metabolism,"100559,100727,107508,109778,110006,112417,11655,11656,12870,12892,14151,14297,15159,15203,15288,15368,15369,17025,19044,22236,22238,22275,22276,226139,231396,233016,243085,394430,394432,394433,394434,394435,394436,552899,67417,70383,71773,72094,77697,94215,94284,",1.0
mmu00900,Terpenoid_backbone_biosynthesis,"102635781,110196,110446,110460,110606,14272,14593,15357,15360,17855,192156,19671,208715,230709,319554,320581,52014,56075,57295,66881,67422,68603,71365,",1.0
mmu00910,Nitrogen_metabolism,"12319,12346,12349,12350,12351,12352,12353,12354,14645,14661,227231,230099,23831,56078,71934,76459,80733,",1.0
mmu00920,Sulfur_metabolism,"20341,20342,211389,22117,23827,23971,23972,242291,246221,59010,66071,",1.0
mmu00970,Aminoacyl-tRNA_biosynthesis,"102436,104458,105148,107045,107271,107508,109093,110960,15115,17726,17727,17728,17729,17730,17731,17732,17733,17734,17735,17736,17737,17738,17739,17740,17741,17742,17743,17744,17745,17746,17747,20226,211006,212679,214580,216443,22321,22375,224805,226414,226539,229487,230577,234734,23874,244141,272396,27267,353172,381314,384281,66590,67417,68915,69606,69955,70120,70223,70560,70791,71807,71941,71984,76563,85305,97541,",1.0
mmu00980,Metabolism_of_xenobiotics_by_cytochrome_P450,"100559,100727,103140,109857,110198,112417,11522,11529,11532,11670,12408,12409,13076,13077,13078,13106,13107,13849,14857,14858,14859,14860,14862,14863,14864,14865,14866,14867,14869,14870,14871,14872,14873,15483,20859,211666,22236,22238,225884,231396,243085,26876,394430,394432,394433,394434,394435,394436,54486,552899,56615,621603,629203,66447,67689,68214,68312,71755,71773,72094,73458,74134,75886,76263,94215,94284,",1.0
mmu00982,Drug_metabolism,"100559,100727,103140,109731,112417,11522,11529,11532,11670,11761,13077,13106,14261,14262,14263,14857,14858,14859,14860,14862,14863,14864,14865,14866,14867,14869,14870,14871,14872,14873,17161,211666,213043,22236,22238,225884,226564,226565,226601,226604,231396,240894,243085,26876,394430,394432,394433,394434,394435,394436,54486,552899,55990,56615,621603,66447,67689,68214,68312,71724,71773,71872,72094,73458,75886,76263,94215,94284,",1.0
mmu00983,Drug_metabolism,"100559,100727,102022,103140,103149,104158,110006,110074,112417,13106,13884,13897,14857,14858,14859,14860,14862,14863,14864,14865,14866,14867,14869,14870,14871,14872,14873,15452,16434,171567,17523,17960,17961,17962,18102,18103,20133,20135,211666,21877,22017,22236,22238,22245,22247,22271,22436,225884,229363,231396,234564,234669,234671,234673,23917,23918,243085,382985,394430,394432,394433,394434,394435,394436,436059,54369,552899,56520,56615,57813,64705,66447,66588,68214,68312,68556,71773,72094,72269,72361,72962,75886,76654,79059,80914,94215,94284,99586,",1.0
mmu01040,Biosynthesis_of_unsaturated_fatty_acids,"106529,113868,11430,12012,12686,15488,170439,171210,171281,171282,20249,20250,20280,209186,217698,235674,26897,30049,30963,329065,54325,54326,56348,56473,57874,66775,68801,70025,70757,74559,76267,80911,83603,",1.0
mmu01200,Carbon_metabolism,"100198,100678,103988,104174,104776,107029,107272,108037,108682,109264,110208,110446,110460,110639,110821,11409,11428,11429,11430,11532,11611,11674,11676,12359,12974,13382,13806,13807,13808,13885,14120,14121,14194,14380,14381,14433,14661,14718,14719,14751,15112,15275,15277,15926,15929,170718,17436,17448,17449,17769,17850,18293,18563,18597,18598,18641,18642,18648,18655,18663,18746,18770,19139,19733,19895,20425,20916,20917,212032,21351,216019,21881,21991,225913,226265,227095,227231,230163,231691,235339,235582,236539,239017,243996,257635,269951,328099,353204,433182,434437,56012,56185,56421,56451,60525,66052,66171,66646,66904,66925,66945,67078,67680,67834,68133,68263,68738,71832,72141,73724,74147,74419,75456,75731,76282,78920,80911,83553,93747,97212,",1.0
mmu01210,2-Oxocarboxylic_acid_metabolism,"108682,109652,11428,11429,12035,12036,12974,14718,14719,15926,15929,170718,217214,23923,243996,269951,67834,71832,76282,",1.0
mmu01212,Fatty_acid_metabolism,"106529,107476,109729085,110446,110460,11363,11364,11370,113868,11409,11430,12686,12894,12895,12896,14081,14104,14979,15107,15488,170439,19063,20249,20250,20280,216739,223722,231086,234309,235674,257633,26922,30049,30963,328845,329065,433256,50790,52538,54325,54326,54397,56348,56473,57874,66775,66885,68801,70757,71147,74147,74205,74559,76267,78070,78625,80911,83603,93747,94180,97212,",1.0
mmu01230,Biosynthesis_of_amino_acids,"100678,107272,107869,108037,108645,108682,109652,109900,110639,11428,11429,11674,11676,11720,11846,11847,11898,12035,12036,12411,12974,13806,13807,13808,14433,14645,14718,14719,15926,15929,170718,18416,18478,18563,18641,18642,18648,18655,18663,18746,18770,19139,19895,20425,209027,21351,217214,21881,21991,226265,227231,230163,231691,232087,236539,238505,243996,257635,269951,27053,328099,353204,433182,56012,56421,56454,66194,66646,67834,69051,71776,71832,74419,75456,76282,83553,",1.0
mmu01521,EGFR_tyrosine_kinase_inhibitor_resistance,"100042150,109880,110157,11651,11652,11836,12015,12028,12043,12048,12125,13645,13649,13684,13685,13866,13867,14173,14183,14184,14388,14456,14784,15234,15461,16000,16001,16193,16194,16451,16452,16542,16653,17295,18015,18176,18590,18591,18595,18596,18706,18707,18708,18709,18710,18750,18751,18752,18803,19211,20104,20416,20418,20662,20663,20779,20848,211323,216148,21802,218268,22339,234779,23797,26362,26395,26396,26413,26417,26987,271849,54635,56484,56637,56717,58988,71785,72508,74769,",1.0
mmu01522,Endocrine_resistance,"104110,104111,109880,110157,11512,11513,11514,11515,11651,11652,11836,12015,12028,12043,12124,12443,12567,12575,12576,12578,12580,13388,13389,13555,13557,13649,13866,13982,13983,14083,14281,14683,14784,15200,15461,16000,16001,16449,16450,16476,16653,17246,17390,17395,17979,18128,18129,18131,18132,18176,18706,18707,18708,18709,18710,18747,18749,19014,19094,19645,20185,20416,20418,20662,20663,20683,20779,210044,216148,22059,224129,23797,242705,26395,26396,26413,26414,26415,26416,26417,26419,26420,271849,27413,29857,432530,54485,56717,58988,59035,72508,74769,76854,",1.0
mmu01523,Antifolate_resistance,"108037,108147,11684,11685,12675,12780,13361,14275,14276,14287,14450,14590,16150,16151,16176,16193,17250,17769,18033,19697,20425,20509,21926,22171,239273,26357,27416,52466,64931,76408,",1.0
mmu01524,Platinum_drug_resistance,"103140,11651,11652,11783,11796,11797,11798,11799,11920,11977,11979,12015,12018,12028,12043,12048,12122,12189,12367,12370,12371,12575,12578,12780,13063,13067,13866,13870,14082,14102,14103,14857,14858,14859,14860,14862,14863,14864,14865,14866,14867,14869,14870,14871,14872,14873,170770,17246,17350,17685,17686,17688,18607,18706,18707,18708,18709,18710,19714,20529,211666,21973,21974,22059,225884,22590,23797,26408,26413,26417,56615,58801,66447,68214,68312,74769,75886,80905,",1.0
