Cell Type,NO.,Group 0,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9
ppi_125,2,ap1m1 gak ap1s2 ap1g1 dner ap1b1 kif13a ehd2 ap1s1 ap1m2 ap1ar
dense_88,2,dnajb7 gng2 qrfp acvrl1 crygb nanp ap3s1 rufy4 efs efcab2 crygc pde7a igsf1 col11a2 mxra7 ubr1 dok7 card9 tspan8 tulp2 htatip2 jrkl rasgrf1 lgals1 lgi3
dense_84,2,nos1ap slco4a1 dnajb7 batf3 nanp rbp2
dense_81,2,akap3 acvrl1 jrkl dok7 apol6 ntrk2 evx2 lgi3 hrk oxsm spire2 card9 nms efcab2 slc17a7 dnlz samd8 il18bp ccdc42 ap3s1 traf3ip3 dnajb7 eps8l1 grin1 ssh2 ido1 nanp gabpb2 efhd2 myl7 lag3 fuz dpysl4 igsf1 efna3 hnrnpa0 ing2 tnfsf11 eif4ebp3 bcl6 cyc1 gpr4 ftsj1
dense_74,2,akap3 dok7 il18bp gpr132 jrkl traf3ip3 dnlz trmt5 she acvrl1 ido1 card9 eps8l1 spire2 grin1 apol6 tmem54 myo1e evx2 heyl anxa1 gng2 nms ifi44 samd8 ppp1r14c ppl
dense_73,2,dok7 akap3
dense_7,2,
dense_6,2,
dense_56,2,akap3 acvrl1 evx2 il18bp dok7 otop2 ccdc42 card9 spire2 ndrg1 grin1 dnlz trmt5 jrkl ppl lgi3 samd8 apol6 efhd2 ido1 tmem54 aif1l ntrk2 hoxc4 dnajb7 efcab2 gng2 hrk gabpb2 tram1l1 kctd4 rgma ctsz tifa eif4ebp3 slc17a7 nanp oxsm nms ftsj1 ap3s1 gpr132 ubxn11 cnga3 heyl pde7a myl7 tnfsf11 prdm10 sun2 zbtb33 zfyve28 tet2 eps8l1 myo1e arhgap31 kdm3b qrfp rps6kb2 tmsb10 nmral1 sostdc1 spag7 dock8 traf3ip3 zcwpw1 she srp14 scarb2 col11a2 fhl2 eif2b5 arl6ip4 amn ttll5 slc6a18 atad5 ccnc cxcl2 kptn myl2 snx12 prkch zbtb48 trappc6b plaur esyt2 tmem86a slc6a14
dense_52,2,ap3s1 akap3 apol6 lgi3 dnlz
dense_47,2,wfdc5 rufy4 wfikkn2 evx2 myl2
dense_46,2,
dense_44,2,wfdc5 akap3 tspan8 prlhr gng2 slc6a14 slc12a3
dense_43,2,akap3 acvrl1 evx2 samd8 trmt5 efcab2 slco4a1
