Cell Type,NO.,Group 0,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9
dense_83,1,wfdc5 htatip2 myl2 slc12a3 nanp rufy4 rasgrf1 noxa1 dnajb7 crygb tspan1 cd3g pcsk6 sostdc1 qrfp mxra7 tmem25 h6pd
dense_82,1,qrfp gng2 rasgrf1 akap3 tspan8 htatip2 ankmy1 lgi3
dense_80,1,evx2 acvrl1 she lgi3 akap3 traf3ip3 dpysl4 arhgap31 jrkl sostdc1 card9
dense_79,1,akap3 ido1 card9 ankmy1 heyl hoxc4 traf3ip3 gng2 il18bp dnajb7 nanp jrkl peli3 otop2 efcab2 hist1h1b ndrg1 sostdc1 hpca dok7 efhd2 oxsm ppl cnga3 acvrl1 dpysl4 tmem54 ap3s1 samd8 cdx2 dmrta2 sdccag8 spire2 arhgap31 prep aif1l myo1e kctd4 nms tjp2 gpr132 tram1l1 tcte1 ubxn11 snap47 gpr137c ntrk2 trmt5 slc6a18
dense_76,1,otop2 sostdc1 akap3 heyl gng2 nanp itk ndrg1 dnajb7 hoxc4 ppl hist1h1b apol6 cbln3 tspan8 trmt5 ccdc42 ap3s1 peli3 sla htatip2 dmrta2 hpca wfdc5 mdm2 krt18 lgals1 tram1l1 hrk nms crygc trit1 tmem54 ticam2 gsta4 hspe1 lgi3 slc22a4 ctsz spire2 acvrl1 mamdc4 slc6a14 kptn crip1 eif3h kctd4 grin1 dpysl4 s100a14 pou3f3 ttll5 slco4a1 prkag1 mapk8ip1 rufy4 azin1 inf2 arl6ip4 jrkl eif4ebp3 gata2 tspan1 sod2 dlx2 crygb
dense_72,1,acvrl1 jrkl il18bp akap3 evx2 evpl nms card9 dok7
dense_68,1,wfdc5 gp2 athl1 btd celf2 maf f8
dense_64,1,rufy4 otop2
dense_61,1,jrkl
dense_59,1,grin1 acvrl1 card9 otop2 sostdc1 il18bp hrk jrkl dok7 ido1 tram1l1 slc17a7 ntrk2 spire2 samd8 ftsj1 gng2 gpr132 ankmy1 hoxc4 heyl oxsm gpr137c arhgap31 nmral1 tnfsf11 gabpb2 peli3 metrnl myo1e tifa nanp ccdc103
dense_54,1,sostdc1 otop2 wfdc5 dnajb7 akap3 gng2 wfikkn2 crygb slc6a14 acvrl1 cbln3 hist1h1b fabp3 qrfp heyl crygc hpca hrk tspan8 htatip2 noxa1 efhd2 nanp hoxc4 arl6ip4 gdf11 scarb2 fam101a tifa
dense_50,1,otop2 dnajb7 acvrl1 grin1 hoxc4 nanp myl2 heyl ntrk2 gng2 hrk oxsm hpca srp14 sostdc1 rufy4 akap3 lgi3 hist1h1b cnga3 tnfsf11 she ankmy1 smek2 aif1l samd8 fbxl4 slco4a1 trmt5 cbln3 zfyve28 nms dpysl4 dock8 ticam2 efcab2 mip
dense_5,1,otop2 hoxc4
dense_49,1,
dense_34,1,akap3 apol6 nanp traf3ip3 jrkl gng2 tspan8 dnlz nms ido1 eps8l1 dnajb7 gabpb2 lgi3 aif1l rgma htatip2 ttc9
dense_26,1,otop2 sostdc1 dnajb7 rufy4 peli3 hoxc4 wfikkn2
dense_20,1,wfdc5 dok7 card9 akap3 tifa slc6a14 crygb nanp ccdc42 fabp3 traf3ip3 apol6 nms tspan8 ankmy1 gpr132 qrfp jrkl aif1l ido1 cd3g trmt5 gng2 myo1e hist1h1b
dense_16,1,wfdc5 htatip2 myl2 wfikkn2 rasgrf1 rufy4
dense_14,1,sostdc1 evx2
dense_12,1,akap3
TF: znf589,1,jak2 stxbp1 tox sash3 zcchc14 spata2l tnfrsf14 hdgfrp3 cast fbxw9 uspl1 rom1 fam117a snrpd2 fam83c nt5c2 chd9 ankrd42 gapdhs serf2 mgat4b tbc1d10a tmem39b slc39a4 rala smyd5 gadd45g gpnmb bzrap1 hey1 sbf1 serinc4 b3gat3 fgf1 csnk1e cdh15 nudt16l1 snapc2 ctxn1 kdelc1 pfn2 vim lamp3 apba1 krit1 sbsn pak6 qpctl fam13a cited2 dock5 mrps10 crbn mtx1 csnk1d abcc10 bivm reps1 gosr2 smtn dennd4b cd84 prmt7 stac2 sema3b hs3st6 eml3 cc2d1b ttf1 fsip1 slc7a6os eif6 hemk1 cpa1 thbs3 slc25a22
TF: zeb1,1,zbtb25 hpcal1 zc3h12a baiap3 adat3 sdhd dctn3 ahdc1 il17c lrrfip2 ptprcap rce1 tctex1d4 timm8b fignl1 tmem204 slc34a3 ywhaz cirbp ptpn6 thoc6 tmem63a hoxa7 rgs6 zbtb32 kdm6b zbtb7b mgat1 hdac10 fli1 cd81 taf10 rap1gap2 srms gas8 flna crtc2 glb1l nhlrc4 dnajc4 hes7 nr1d1 itpa ptp4a2 pcbp4 map2k3 zcwpw1 rnpepl1 junb arid1a socs1 rreb1 psmb10 ripk4 mxi1 fgfrl1 tspan31 abhd14b acadvl fam167b dvl1 emd pusl1 pygo2 maz mgat4b gcdh klf1 fam83h tubgcp5 vdac3 lck dgka aloxe3 mepce tmem121 crb3 abhd14a als2cl ppp1r14a lenep arhgef2 ydjc prap1 dlg4 ptpn7 rpl26 lpin3 slc35a3 alg3 lbh tgif1 flii igsf9b pfkfb4 bzrap1 dennd2d dusp2 npdc1 irf2bp2 stk16 ano9 zmynd8 tas1r3 hook2 efna3 zfp36 tnfrsf12a ctrl ets1 cmpk2 clic1 nme3 nbeal2 dbnl spint2 tmc8 arid5a gfi1 grb7 mvk tmem129 atxn1 mfsd3 wdr90 pigq gnb5 capn10 ccnd2 rps11 tfdp1 fam53b ggt7 bcl11b xkr8 irf6 deaf1 pomc sharpin fbxl3 uap1l1 cited2 snx10 plekhn1 ralgapa2 ltb fam195a mrps18a plec hcfc1r1 lta tmc6 mpp6 pla2g15 ddrgk1 irs1 ucn2 herc6 tmem80 ahnak cyhr1 chmp2a lef1 crip1 eef1a1 ccdc106 kifc2 tnf spsb3 tcf7 ercc6 pde6b ece2 slc25a23 ctsd tmem109 ptma gtpbp3 smad7 fank1 klhl17 luzp1 rgs11 prpf19 cxcr4 gata3 pdlim2 zbtb1 ifih1 prkar1b prrt2 zfp36l2 dhcr7 bbc3 tonsl plekhg2 caly maf1 ccdc116 dll4 mapk13 cse1l rbm38 ano8 slc16a3 eme2 pcgf1 tmie maea hoxb4 bcl6 mmab amdhd2 apeh lax1 myo5b vegfb ddah2 mrps34 traf7 acap3 hn1l nadsyn1 irf1 llgl2 tacc3 crip2 scamp4 dexi nfkb2 zc3h15 gemin7 tuba4a exoc3 sdccag3 bcl9l acss2
TF: zbtb16,1,wbp2nl ppp1r14c ndufb4 amot nup88 enthd1 alkbh8 grap2 ran gpr63 camk2g nfe2l1 tbl1xr1 setd8 tcp11l1 ece1 cdca7 afm ss18 abhd10 ccdc150 rangap1 ikzf5 tmem120a rnf165 sytl2 bcl2l1 lmcd1 eya1 fam114a1 itih2 ano1 rin3 mnt ybx1 sgpp1 dlx2 treml4 moxd1 lpar4 cyp7a1 dstyk rnf145 tgfbr2 nkx2-3 chm prkab2 vdac1 st6galnac6 esr1 kctd4 abhd4 foxo3 dad1 nupl2 foxa1 gpatch3 cdkn2b slc19a3 cdkn2a pigv glg1 sin3a rpain usp49 rassf5 ctcfl sub1 fabp1 rfk lrch1 mcl1 rnf183 mdm2 dlgap3 stk38l fam105a btbd10 cdk6 acadsb taf1 ctsk wdfy1 fam46c
TF: tal2,1,slc34a3 cirbp ptpn6 fasn kdm6b zbtb7b pkn1 nr1d1 map2k3 rnpepl1 fgfrl1 tspan31 pusl1 dph2 tnfrsf18 tubgcp5 dusp28 nfkbie nfatc1 phpt1 bzrap1 inf2 stub1 cend1 adora2a sh3bp2 tnfrsf4 tmc8 wdr90 capn10 git1 eef1d echs1 lrrc26 rassf2 lfng b4galt2 atp6v0b deaf1 sh3bp1 ndufaf3 rorc fam195a plec arid3a sirt7 tmc6 nrarp tmem80 cyhr1 sdf4 gnptg pex10 grifin rhbdl1 lzts2 paox mamdc4 dalrd3 gpr17 slc16a3 esrp2 lamp1 amdhd2 traf7 psd4 acap3 atp6v0c slc25a22 akt1 bcl9l
TF: stat5a,1,rdh12 ttc32 rdh5 ada pbxip1 tbx6 casp2 cxcr2 ctsw rxrb cfl1 gmfg cyb561 arhgap9 vps53 ager ptpn6 mlkl kif21a pex7 ccdc159 kdm6b zbtb7b pus10 cpsf7 mgat1 fli1 rnf167 nsl1 fyn ndst2 slamf7 nr1d1 hs6st1 tarbp2 prdm1 lmo4 btbd1 cldn12 rnpepl1 gsk3a junb arid1a rgp1 mxi1 fhl3 hic1 tspan31 dyrk1b klhl8 tspan18 cdkn1b map3k12 pygo2 vasn gpatch4 cib1 maz ccdc71 ube2l3 socs3 dgka dusp28 mapkapk3 ccdc28a rab3d cnih2 atad5 kif2a arhgef2 pex13 cited4 s100a5 tnni3 lix1l ncdn adcyap1 rere eomes ppcdc sdhaf2 ccdc85b snapin esyt1 eif2ak4 fgd6 bcat2 lbh lypd6 bzrap1 dennd2d ankmy1 shisa5 traf1 irf2bp2 hapln3 hs3st3b1 ccdc155 zmynd8 zfp36 hoxc9 tatdn3 klhdc8b zscan18 adrbk1 ets1 hoxa11 csk crem crlf3 slc25a4 clic1 wdfy3 alox12b adora2a ube2q1 cables2 gpd1l tmem41b ptger4 agbl2 ifrd1 cdkn1a srsf5 ccdc64b gfi1 agap2 atxn1 ccdc157 eif2b4 parp12 pcsk1 tnfaip3 nsun7 gpr61 ypel3 prdx2 thra cacnb4 egr1 ccnd2 slc25a11 zkscan5 camta1 rassf2 plxnc1 asxl1 rnasek eif4ebp3 bcl11b klf12 mus81 psmb8 ift20 sra1 hoxc8 rhoh klf6 sf3b1 ltb ppp1r12a lta rdh11 bcl6b pla2g15 pinx1 dbt hoxa10 nr4a2 hoxb5 cry1 gipc1 ptcd3 dpagt1 chd1 ahnak dixdc1 ddx25 gzmb lef1 selplg crip1 arid5b apoa1bp sf3a1 tnf tcf7 rnd3 utp11l twf2 bclaf1 tmem109 myl6 vav3 gtpbp3 smad7 abcc5 rgs16 fank1 hinfp polr1a dennd4a pus3 snrpc c1rl slc39a7 cxcr4 gata3 gmds cd46 tmem205 brd8 wdr81 prrt2 tnfaip1 asb7 hivep2 eef2k pfn1 c2cd2l atp10a zbtb2 helb vezt wnt1 kif20a lypd5 fibp csnk2a1 apbb1ip per1 mri1 cox10 ano8 slc16a3 esrp2 syf2 trib2 snx17 nans sec31a hoxb4 mgst2 adm bcl6 hemk1 cish mrps18b ddah2 rhof cdk4 cd53 mef2d irf1 llgl2 rab1b hdac7 lst1 tmem139 akt1 zfp112 rpl23a npff bcl9l
TF: sox12,1,csnk2b fyttd1 cd200 enox1 ptp4a1 ccnd3 mex3c fyn flna med25 sgtb nin prdm1 hoxb7 fbxl22 fam118b dyrk1b emd cyb561d1 ccdc71 pcdhb15 cyfip2 casp8 klhl7 tgif1 caprin1 npm1 klhdc8b ddx42 nhlrc3 hoxb6 hbp1 pias4 pitpnm2 ypel5 shmt2 slc35d3 ccnd2 setd7 chn2 apom sf3b1 reck pigv dlx5 smarce1 tnpo1 atad1 dixdc1 hnrnph1 lef1 usp15 ptma ralgds ccdc47 nln itgb8 fuz hist1h4k rpusd4 ptpn21 rpl11 pik3cg rnf38 nrm wdr1 zc3h14 hoxb8 gpank1 acrbp
TF: rxra,1,nol7 exd1 hspbp1 kcnk4 arhgef37 epha1 c1qtnf6 gfer rdh5 baiap3 kars trip10 cog6 pdrg1 hps6 tbx6 srebf1 col7a1 igfn1 tekt4 zgpat ulk3 rxrb tmem127 clcf1 fyttd1 abcg1 tpi1 ptprcap rce1 rara tctex1d4 gapdh ovol1 fgf3 tmem204 fabp6 nudc cfl1 serpina10 ssbp4 orai2 ciao1 mzf1 slc34a3 spata2l mylip plxna3 cirbp dda1 cbx4 ager ptpn6 tnfrsf14 nisch rnf44 tmem63a ptf1a gmip tomm40 zdhhc19 rasgrp2 hoxa7 igfbp6 ccdc51 fasn alkbh8 nsd1 nek8 umps kdm6b zbtb7b tmem52 elmo3 she kcnj5 prrx2 tifa golga4 bola2 hdac10 coro7 ythdf2 gmnn ap1ar them5 cyp26b1 pold4 amigo1 mrpl34 slmo2 pak4 taf10 nfxl1 ica1l chchd1 ppih aldoa ppp1ca smarca5 lsp1 kcnk6 gck mfap2 kcnk7 atp1a1 vsig2 cenpa grin2d tmem229b mta2 atrip plcd3 manf galk1 dyrk2 cic ndufa4l2 tarbp2 apoe setd8 odf3b ggt6 nphp4 nrgn akt1s1 tec pmepa1 polr2h prss33 dusp13 map2k3 abca2 ncln rnpepl1 meis3 tmprss3 rpl38 pnma2 btg4 ubiad1 junb mylpf tnip2 rbm15b socs1 rreb1 slc43a2 trim8 svopl chst12 alkbh7 fam101a tnni1 lysmd2 gak chd3 ccdc88b agpat1 fhl3 acoxl mutyh tspan31 cd6 abhd14b zbtb20 fam167b ccbl1 cd28 dyrk1b pusl1 cbx5 spop insig1 nbea atp5d dph2 hook1 ccdc9 map3k12 tnfrsf18 wdr83 ttyh2 isg20 runx1t1 vasn maz ccdc71 lamb2 tbc1d13 tmem161b tcte1 rpl13 socs3 arl16 catsper3 krt31 brd1 lck zswim3 dgka h3f3b aanat aloxe3 dusp28 mapkapk3 rad1 zkscan2 sdcbp2 msi2 hdac5 abhd14a mal2 nfkbie cnih2 tpmt setd3 cmc1 usp19 chac1 als2cl pspn inpp5a arhgef2 p4hb ltbp2 mtcp1 klhl21 fkbp2 fndc8 aars2 lrp4 acot8 ankrd9 omp rangrf slc25a1 s100a5 ccdc12 naa50 uxs1 ppm1m mnt akna dram1 ncdn ttk arl4c dnd1 hyi hpdl tle3 gtf2h4 abhd8 abca1 esrra ccpg1 tbc1d17 tepp fastkd1 adamdec1 sytl3 rqcd1 sar1a bcat2 alkbh6 fgr zik1 lbh flii tmem175 lrrc16a nfyc phpt1 atf3 glb1 prpf18 arpc1b sqstm1 mrps28 bzrap1 dennd2d mybbp1a exoc1 osr2 pltp ctrc hcn2 pja2 shisa5 capn1 hmha1 kank2 irf2bp2 hcst numbl kif2c fbxl5 tmem190 gpr108 tmem143 tusc2 emg1 got2 ripk3 pank1 wdr55 cdk2ap1 hook2 pam16 sh3tc1 pld2 frmd8 zfp36 hoxc9 arrb2 rnf157 arfip2 rab13 adcy3 wdr7 cep250 dhrs7c ighmbp2 fut11 lasp1 taf1c adrbk1 krt78 cttnbp2nl pcgf3 pgls pick1 bmf prosc ldb1 csk trap1 pigo spock2 elovl1 adora2a rnf145 nbeal2 sh3bp2 cd274 usp37 toe1 tmem132d bud13 ggnbp2 galnt7 fads3 caskin1 myo7a gltp brix1 dusp7 mtmr11 jund loxl1 nr4a1 tmc8 sema4c rnf5 ccdc64b atat1 nfkbid tut1 sf3b4 fam170a atxn1 tymp cacnb1 st6galnac2 terf2ip wdr90 nacc1 mrps31 dlgap4 pex12 zbtb9 dnajc22 eif2b4 plvap shmt2 ccdc17 snapc2 tspan1 slc7a6 git1 il2ra adprh set lefty1 gata2 itih3 cdca8 matn3 col27a1 rprd1b gnai2 lama3 cdrt4 actg1 sema3g vma21 ypel3 gbf1 lamp3 tmub1 cacna2d4 rarg kdm1b rps6ka1 smad3 eif3g rtn4rl2 thra rb1 ccnd2 csf3 cox5a fndc3a col11a2 trmt1 narfl lrrc26 ptchd1 paics guca1a pmf1 c2cd4a rassf2 tbc1d22a itsn1 clic3 brcc3 scnm1 vdac2 ttc36 arfrp1 lfng b4galt2 pkdcc plcg1 cd14 bcl11b atp6v0b panx2 vrk3 rnf208 lclat1 mus81 baz1b fam69a phb2 trabd ccnb2 mrpl21 slc38a5 zic1 raly gimap5 tbc1d10c crnkl1 skiv2l acly e2f4 fastk rgs19 mc1r cog4 rbm15 vars2 hoxc8 ncor2 man2b1 tnfaip8l2 rorc mknk2 atad3a samd14 atf4 bahd1 rnf151 c8g hgs cryzl1 pnpla6 fam195a ubxn7 ipo11 mad2l2 pelp1 ubxn11 plec gpatch3 lysmd1 reck lgr5 pkmyt1 jtb sirt7 tmco6 tmc6 cuta syngr3 fn3krp gpr26 psmd2 pnkp smpd2 cfb chpt1 foxe3 tmem86a ftsj1 ppat klf4 pdlim7 mdk tlcd1 ap1b1 efna4 ucn2 emilin1 tceb2 hnrnpa1 ryk stoml2 ahnak il23a hnrnph1 gsdmd chmp2a etfdh crip1 pigt brsk1 grsf1 mtf1 dync2li1 bid upp2 slc16a1 apoc1 fcgbp tagln2 ccdc60 ang itgb4 tcf7 fads1 osm ppp1r10 ppp1r9b cct7 hsd17b10 izumo4 loxl2 utp11l twf2 ring1 kpnb1 mafg ndufa2 ptma synj2 ilk ephb2 usp49 scoc proz qars ebna1bp2 ralgds agap3 slc6a18 fank1 oprl1 sh3bgrl3 nfkb1 mfsd5 aen c1ql4 slc39a7 slc25a35 azi2 gata3 grifin trim56 eif2b2 lztfl1 pcyt1b pabpn1l kcmf1 trappc3 rhbdl1 cachd1 syngr4 wdr81 ccnk spg11 nufip2 ik prrt2 dhx35 stx1a rpl19 rpl14 spsb2 marveld3 lzts2 coro1a mamdc4 snn slc45a4 pigw bbc3 acbd4 cntfr pfn1 plekhg2 rpl32 tyrobp tshz2 mlst8 taf13 dok5 anapc2 umodl1 slc39a1 adcy4 dio3 ubtf gmppa myc wnt1 paqr4 scap lrrn3 grina kdelr1 mrpl43 c2cd2 zscan2 sf3b3 apc2 cnn2 dpep3 pitx3 tti1 taf6l parp10 tshr tbl3 mrpl4 cse1l patl1 pnpla2 ssna1 mrpl11 fscn2 gpr17 pip4k2c per1 lrch1 rbm38 yif1b fip1l1 ctage5 slc16a3 plcb3 dpp8 scyl3 slc2a4 snrpf clcn2 usp2 rcc1 pddc1 arhgdia mta1 tmie pdpk1 snx17 shbg adad2 ftcd myo1g nup210 atp6v1a trim3 soat2 usp13 vps54 relt adm bcl6 b4galt4 scarf1 tbrg4 ppil6 klf11 vegfb lcn12 lrrc8a mapk7 chrm4 il19 sh2d3c cish tomm22 mrps18b rnase4 slc19a1 rhof atp6v0a2 ankrd13b pbx2 psd4 acap3 bard1 mef2d nt5dc1 dchs1 fbxw5 cyp1a1 sigirr midn s100a6 gli1 ankrd39 mtfp1 mycn hspa1b rab1b zic4 nr0b2 pomgnt1 pgp il15ra crip2 samd1 eng coro6 ephx4 smarcd1 prss22 p2ry6 iffo1 nfkb2 bhlhe40 hdac7 kptn noxo1 tnnc1 sat2 prr7 rrp8 slc25a22 lhx2 vps13c akt1 ppp1r14b tm7sf3 ndrg2 pcyt2 mapkapk2 ptch1 creb3l4 rpl23a npff prkcdbp tmem25 bcl9l ap2b1 klf15
TF: runx2,1,hpcal1 cox11 ndufs8 lcat mapt nlrp3 tmem204 aspdh plekhh3 rasgrf1 gng4 cirbp batf3 ptpn6 isyna1 grik5 cops4 sh2d2a stxbp4 map3k14 ccdc51 ntrk1 psen1 kdm6b zbtb7b pdcd1 agpat3 angpt2 mllt6 zdhhc8 ski ctnnb1 letm2 gjc2 lsp1 rbm4b ssbp3 tjp2 hoxc10 fam173a zc3h12d atrip foxs1 cic suv420h2 traf3ip3 bak1 b9d1 rnpepl1 pycrl socs1 pde6d psmb10 tspan31 erbb2ip trim45 tnfrsf18 mul1 cxxc1 zdhhc11 gyltl1b dusp28 mapkapk3 csrnp1 arsa tmem216 nadk fkbp2 s100a5 naa50 aak1 josd2 lbh tctn1 bhlha15 thap11 dusp2 pja2 ano9 sbf1 zfp36 ankrd24 cops7b csk adora2a sirt6 tnfrsf4 laptm5 tmc8 pex16 gpr68 tmem129 rps21 wdr90 shmt2 nkd2 git1 abhd16b tmem39a rarg rps6ka1 herpud1 mfsd10 fam53b tmem115 sobp lfng hck plcg1 asb1 trabd repin1 usp45 tcirg1 ptpn22 rbm15 npc1 rorc fam195a sssca1 plec zfyve28 ppy tnfsf14 nprl2 tmc6 itgb7 mbd1 cyb561d2 slc4a2 tssc4 lyl1 dpagt1 ahnak crip1 map2k1 cdk5 tcf7 glg1 hsh2d dohh impdh1 zhx3 sfxn5 grifin wdr81 zfp36l2 bbc3 arhgap1 metrn ehbp1l1 cops6 wnt1 whsc1l1 mkl1 sema4d plcb3 brd9 s100a11 atp6v1a bcl6 rpl11 pi16 pwp1 mapk7 cish slc19a1 rhof ankrd13b mef2d s100a6 pth1r tacc3 ptdss2 pomgnt1 hdac7 slc25a22 zmynd10 gzma ppp1r14b acot11 bcl9l
TF: pgr,1,fam131a disc1 phc2 snx33 rxrb rnf19a nkiras2 fignl1 slc22a18 ptpn6 pgam2 mlf1 slc50a1 btbd7 cpne7 kdm6b zbtb7b fmnl1 nos1ap taf10 aldoa lsp1 cpsf3l glb1l slc23a1 ndufa4l2 atp2a3 scgb1c1 nphp4 golt1b vdr ptp4a2 rnpepl1 arid1a lrp8 gnb1l amica1 myl6b acoxl sprr4 ulbp1 cdkn1b gigyf1 zdhhc11 lyst dgka hmbox1 ldoc1l mphosph6 aloxe3 hnrnpl mapkapk3 haao lsm1 nfkbie als2cl calm3 arhgef2 recql ptpn7 wdr27 ppm1m akna ttc33 bmpr1a ccr7 grid1 mrpl9 txlna tbx1 ascl3 bzrap1 dennd2d stk16 eif4g1 zmynd8 fstl3 rps13 tas1r3 sh3tc1 gpr45 fgf18 oaz3 ptbp1 srgap3 dennd2a lpcat1 ube2f ldb1 csk imp3 unc5a clic1 ube2q1 pik3r2 laptm5 ruvbl2 tmem38a bcl3 zbtb9 txnrd2 shmt2 arhgef1 dtnb fam65c vamp5 bag4 vamp4 calb2 col11a2 gng8 micall2 mafk tmem115 lctl ints8 plekhg3 cep70 rictor ppt2 ptgr1 phyhd1 lgals8 rpl37a rorc ltb nprl2 lta cuta cyb561d2 ppig igdcc3 appl1 plagl2 qrfp emilin1 ahnak cars decr1 abhd11 fubp1 dnajc7 tnf tagln2 ints9 ccdc59 pofut1 tcf7 ly86 twf2 ring1 myl6 cacna1i sag vamp8 clcnkb slc39a7 fads6 msh5 med16 arid3b lzts2 snn comt scfd1 kcne1 ssna1 per1 odf3 cdkn1c efna1 tmie gpx4 smyd2 bin3 cish tnk2 fcgrt ddah2 prame gys1 rnf38 psd4 mef2d prrt1 snai3 wnk4 hdac7 slc25a22 zmynd10 lst1 exoc3 fabp3 akt1 bcl9l
TF: nr3c1,1,stat5a gsto1 fam131a ahdc1 tpp1 phc2 wnt3a snx33 rxrb phc3 clcf1 ulk1 tctex1d4 nkiras2 tmem204 slc22a18 gtf2f2 cyb561 ptpn6 ampd2 disp2 hsd11b1 slc50a1 usp21 tnfaip8 med24 kdm6b zbtb7b fmnl1 nos1ap ap1m1 slmo2 taf10 stc1 sec22b b3gnt2 crtc2 glb1l sun2 zc3h12d nr1d1 tcea2 slc23a1 galk1 ndufa4l2 atp2a3 scgb1c1 asf1a map2k3 rnpepl1 tmod2 arid1a tnip2 polr3g myl6b slc17a9 scnn1a birc3 adamts4 kbtbd3 aqp6 abhd14b def6 arrb1 pusl1 ptprj ulbp1 hist1h4f stat5b cdkn1b anapc4 tnfrsf18 ccdc71 coro2b rin1 pts zdhhc11 tcte1 dclk3 bap1 yod1 erbb2 hps5 dgka tspan14 aloxe3 dusp28 hnrnpl mapkapk3 slc35e1 stk4 pramef12 lsm1 abhd14a nfkbie commd2 gsto2 cib2 als2cl arhgef2 tgif2 rnf7 ptpn7 aars2 dnajb7 s100a5 ppm1m akna hoxc4 dusp6 safb2 dusp12 pgap3 ccdc85b ccr7 astl tnks1bp1 grid1 lbh txlna tbx1 alad ppox phpt1 bzrap1 dennd2d dusp2 s1pr4 tgm7 dhx36 prcc pik3ip1 tie1 stk16 gpd1 sbf1 hist1h1d vill rfesd egfl7 rps13 aqp5 pitpnc1 tas1r3 hook2 mblac2 cdc25c cend1 fbxo32 lemd2 acp2 bmp1 lasp1 lpcat1 tnfrsf8 atp6v0d1 bmf ube2f gtf2b ldb1 csk imp3 unc5a mmrn1 clic1 wsb1 mmel1 sh3bp2 ing1 tnfrsf4 ccdc85a rplp2 atp13a1 pik3r2 mtmr11 st13 laptm5 tmem38a tmc8 cdkn1a hbs1l sf3b4 nckipsd slc39a13 tmem55b shmt2 arhgef1 eif1ad vamp5 bag4 fxyd1 rarg thra agrp gng8 pax6 tbc1d22a fam53b rogdi tpt1 tmem115 smarcd3 plekhg3 fcho2 ell2 apba3 rictor pomc fndc7 rgs19 xpnpep3 rrp1 dusp1 vamp2 foxred2 hoxc8 snx10 klf6 rorc sf3b1 mrpl54 etnk2 ltb banf1 foxa1 kcnj1 plec gatsl3 pepd nprl2 anapc10 lta tmc6 cuta cyb561d2 flnc igdcc3 dnm2 ucp3 emilin1 safb uckl1 ahnak cars chmp2a tpm2 nos2 crip1 ip6k3 med30 lgi4 decr1 abhd11 dnajc7 tnf tagln2 map2k1 ccdc59 tcf7 ppp1r9b ly86 lekr1 twf2 ring1 sin3a pnmt ahcyl1 ptma myl6 zcchc24 map3k6 rassf5 fxyd7 vamp8 oprl1 obscn slc39a7 fads6 cxcr4 grifin kcnab2 msh5 stac2 prkcd trappc3 crebbp il5 prkar1b mrps12 lzts2 mamdc4 snn asb7 cndp2 qtrtd1 cat anapc2 slc39a1 cebpd tulp4 hoxc6 ilf3 dnase1l2 mansc1 fam53c pnpla2 ssna1 pole3 gpr17 per1 scn4b odf3 cdkn1c ano7 nr1h3 efna1 phf7 fam132a tmie hspa4 agfg2 rnf183 myo1g capn3 smyd2 bcl6 fosl1 tbrg1 cish tnk2 fcgrt ddah2 abce1 rhof traf7 pfkfb2 psd4 acap3 mef2d chd4 midn snai3 s100a6 ltbr mtfp1 crip2 eng lsr ndufs2 cilp hdac7 aasdhppt slc25a22 hist1h3e zmynd10 pdk2 lst1 exoc3 fabp3 akt1 sla creb3l4 bcl9l
TF: nfatc2,1,tm9sf2 pbxip1 elk3 arl6ip5 mynn ppp1r1b s100a4 arid4b ptpn6 kdm6b zbtb7b atn1 fli1 mgat4a fyn klf3 fastkd5 prdm1 lmo4 hmx2 tap1 trim8 nr4a3 adamts6 tspan31 s100a3 cdkn1b rspry1 adpgk pygo2 tspan14 dusp28 mapkapk3 hist1h4i csrnp1 sesn1 arhgef2 foxb1 ptpn7 s100a5 ppm1m lix1l eomes b4galt3 lbh tgif1 irf2bp2 cep57l1 zmynd8 trerf1 hoxc9 polr3gl adrbk1 hoxa11 nr3c2 foxn3 foxj3 gfi1 agap2 socs2 tnfaip3 fam192a egr1 ccnd2 pax6 stard3 rassf2 stx16 etv6 bcl11b s1pr1 fyb psmb8 irf2 hoxc8 klf6 rorc mbnl2 ltb ubox5 pigv hoxa10 nr4a2 plagl2 dixdc1 lef1 crip1 arid5b klf7 tnf ankrd34a pofut1 tcf7 bcl9 twf2 smad7 foxp1 cxcr4 zfp36l2 wsb2 slc38a2 myo1g gnas bcl6 znfx1 anxa6 rhof brd2 bub3 s100a6 bhlhe40 zeb2 ggps1
TF: mxd1,1,slc34a3 cirbp ptpn6 fasn kdm6b zbtb7b pkn1 nr1d1 map2k3 rnpepl1 fgfrl1 tspan31 pusl1 dph2 tnfrsf18 tubgcp5 dusp28 nfkbie nfatc1 phpt1 bzrap1 inf2 stub1 cend1 adora2a sh3bp2 tnfrsf4 tmc8 wdr90 capn10 git1 eef1d echs1 lrrc26 rassf2 lfng b4galt2 atp6v0b deaf1 sh3bp1 ndufaf3 rorc fam195a plec arid3a sirt7 tmc6 nrarp tmem80 cyhr1 sdf4 gnptg pex10 grifin rhbdl1 lzts2 paox mamdc4 dalrd3 gpr17 slc16a3 esrp2 lamp1 amdhd2 traf7 psd4 acap3 atp6v0c slc25a22 akt1 bcl9l
